Group,Instance,Size,MIP Status,MIP Optimal,MIP Makespan,MIP Time,MIP Bin Vars,MIP Cont Vars,CP Status,CP Optimal,CP Makespan,CP Time
TAILLARD 30x20,ta41,30x20,Timeout,False,18874,183.42086935043335,8700,601,FEASIBLE,False,2121,180.1251096725464
TAILLARD 30x20,ta42,30x20,Timeout,False,21762,182.61466097831726,8700,601,FEASIBLE,False,2057,180.09329319000244
TAILLARD 30x20,ta43,30x20,Timeout,False,17145,182.265691280365,8700,601,FEASIBLE,False,1985,180.1448826789856
TAILLARD 30x20,ta44,30x20,Timeout,False,16613,182.54597640037537,8700,601,FEASIBLE,False,2094,180.10774850845337
TAILLARD 30x20,ta45,30x20,Timeout,False,18139,181.85192680358887,8700,601,FEASIBLE,False,2055,180.11241483688354
TAILLARD 30x20,ta46,30x20,Timeout,False,17818,183.46121191978455,8700,601,FEASIBLE,False,2112,180.0961995124817
TAILLARD 30x20,ta47,30x20,Timeout,False,17096,182.67330861091614,8700,601,FEASIBLE,False,2015,180.1270933151245
TAILLARD 30x20,ta48,30x20,Timeout,False,21241,188.414790391922,8700,601,FEASIBLE,False,2036,180.08821535110474
TAILLARD 30x20,ta49,30x20,Timeout,False,17113,182.6237370967865,8700,601,FEASIBLE,False,2079,180.12096452713013
TAILLARD 30x20,ta50,30x20,Timeout,False,17388,182.78502488136292,8700,601,FEASIBLE,False,2046,180.12247943878174
