status,optimal,makespan,solve_time,strategy,Instance,Size
FEASIBLE,False,1665,119.98659038543701,NO_PRESOLVE,ta24,20x20
FEASIBLE,False,1621,120.07651972770691,DEFAULT,ta25,20x20
FEASIBLE,False,2082,119.9971718788147,FIXED_SEARCH,ta25,20x20
FEASIBLE,False,1642,120.01040649414062,NO_PRESOLVE,ta25,20x20
FEASIBLE,False,1662,120.07053732872009,DEFAULT,ta26,20x20
FEASIBLE,False,2290,120.00739455223083,FIXED_SEARCH,ta26,20x20
FEASIBLE,False,1735,119.99807453155518,NO_PRESOLVE,ta26,20x20
FEASIBLE,False,1691,120.06981015205383,DEFAULT,ta27,20x20
FEASIBLE,False,2022,120.00159502029419,FIXED_SEARCH,ta27,20x20
FEASIBLE,False,1717,120.02843689918518,NO_PRESOLVE,ta27,20x20
FEASIBLE,False,1641,120.08454036712646,DEFAULT,ta28,20x20
FEASIBLE,False,2021,119.99355268478394,FIXED_SEARCH,ta28,20x20
FEASIBLE,False,1660,120.02374029159546,NO_PRESOLVE,ta28,20x20
FEASIBLE,False,1647,120.08436727523804,DEFAULT,ta29,20x20
FEASIBLE,False,1991,119.99844598770142,FIXED_SEARCH,ta29,20x20
FEASIBLE,False,1656,120.00864028930664,NO_PRESOLVE,ta29,20x20
FEASIBLE,False,1612,120.10395050048828,DEFAULT,ta30,20x20
FEASIBLE,False,1942,119.99894642829895,FIXED_SEARCH,ta30,20x20
FEASIBLE,False,1623,120.00803780555725,NO_PRESOLVE,ta30,20x20
