Group,Instance,Size,MIP Status,MIP Optimal,MIP Makespan,MIP Time,MIP Bin Vars,MIP Cont Vars,CP Status,CP Optimal,CP Makespan,CP Time
TAILLARD 20x15,ta11,20x15,Timeout,False,2972,90.41831946372986,2850,301,FEASIBLE,False,1366,90.07391881942749
TAILLARD 20x15,ta12,20x15,Timeout,False,6514,90.31700491905212,2850,301,FEASIBLE,False,1391,90.0400140285492
TAILLARD 20x15,ta13,20x15,Timeout,False,6103,90.35220289230347,2850,301,FEASIBLE,False,1374,90.07380509376526
TAILLARD 20x15,ta14,20x15,Timeout,False,6292,90.40223979949951,2850,301,OPTIMAL,True,1345,16.31089735031128
TAILLARD 20x15,ta15,20x15,Timeout,False,1935,90.41306567192078,2850,301,FEASIBLE,False,1377,90.08816862106323
TAILLARD 20x15,ta16,20x15,Timeout,False,2494,90.32621312141418,2850,301,FEASIBLE,False,1374,90.05021047592163
TAILLARD 20x15,ta17,20x15,Timeout,False,2772,90.29917550086975,2850,301,FEASIBLE,False,1469,90.08576273918152
TAILLARD 20x15,ta18,20x15,Timeout,False,1918,90.4727520942688,2850,301,FEASIBLE,False,1424,90.07272005081177
TAILLARD 20x15,ta19,20x15,Timeout,False,6337,90.34693312644958,2850,301,FEASIBLE,False,1392,90.06775569915771
TAILLARD 20x15,ta20,20x15,Timeout,False,6443,90.32579135894775,2850,301,FEASIBLE,False,1372,90.06848502159119
