Group,Instance,Size,MIP Status,MIP Optimal,MIP Makespan,MIP Time,MIP Bin Vars,MIP Cont Vars,CP Status,CP Optimal,CP Makespan,CP Time
TAILLARD 15x15,ta01,15x15,Timeout,False,1944,60.164386510849,1575,226,OPTIMAL,True,1231,5.809694290161133
TAILLARD 15x15,ta02,15x15,Timeout,False,1658,60.16084432601929,1575,226,OPTIMAL,True,1244,55.948461294174194
TAILLARD 15x15,ta03,15x15,Timeout,False,1585,60.179831981658936,1575,226,OPTIMAL,True,1218,28.698692083358765
TAILLARD 15x15,ta04,15x15,Timeout,False,1590,60.21885347366333,1575,226,OPTIMAL,True,1175,46.43650031089783
TAILLARD 15x15,ta05,15x15,Timeout,False,1728,60.302746534347534,1575,226,FEASIBLE,False,1224,60.079142570495605
TAILLARD 15x15,ta06,15x15,Timeout,False,1509,60.20607352256775,1575,226,FEASIBLE,False,1239,60.07939267158508
TAILLARD 15x15,ta07,15x15,Timeout,False,1859,60.21862602233887,1575,226,FEASIBLE,False,1227,60.062254190444946
TAILLARD 15x15,ta08,15x15,Timeout,False,1567,60.26243734359741,1575,226,FEASIBLE,False,1217,60.04633688926697
TAILLARD 15x15,ta09,15x15,Timeout,False,1542,60.29582381248474,1575,226,FEASIBLE,False,1280,60.09574866294861
TAILLARD 15x15,ta10,15x15,Timeout,False,1655,60.2870397567749,1575,226,OPTIMAL,True,1241,26.586588621139526
