Group,Instance,Size,MIP Status,MIP Optimal,MIP Makespan,MIP Time,MIP Bin Vars,MIP Cont Vars,CP Status,CP Optimal,CP Makespan,CP Time
TAILLARD 20x20,ta21,20x20,Timeout,False,3870,120.46811890602112,3800,401,FEASIBLE,False,1673,120.06606483459473
TAILLARD 20x20,ta22,20x20,Timeout,False,8968,120.5007221698761,3800,401,FEASIBLE,False,1641,120.06066393852234
TAILLARD 20x20,ta23,20x20,Timeout,False,8755,120.69133067131042,3800,401,FEASIBLE,False,1587,120.07699990272522
TAILLARD 20x20,ta24,20x20,Timeout,False,4485,120.48852729797363,3800,401,FEASIBLE,False,1677,120.08344101905823
TAILLARD 20x20,ta25,20x20,Timeout,False,8176,120.45427131652832,3800,401,FEASIBLE,False,1652,120.08108735084534
TAILLARD 20x20,ta26,20x20,Timeout,False,9205,120.49427819252014,3800,401,FEASIBLE,False,1693,120.09157609939575
TAILLARD 20x20,ta27,20x20,Timeout,False,9364,120.70136880874634,3800,401,FEASIBLE,False,1706,120.0750961303711
TAILLARD 20x20,ta28,20x20,Timeout,False,11711,120.46279907226562,3800,401,FEASIBLE,False,1639,120.0974953174591
TAILLARD 20x20,ta29,20x20,Timeout,False,3045,120.42267656326294,3800,401,FEASIBLE,False,1641,120.09172797203064
TAILLARD 20x20,ta30,20x20,Timeout,False,11783,120.54716539382935,3800,401,FEASIBLE,False,1622,120.05004930496216
